timestamp,losses_mw,vm_mean,vm_min,vm_max,voltage_deviation_pu,max_line_loading,n_overloaded_lines,n_voltage_violations,total_load_mw,converged,total_gen_mw,ev_soc_mean,ev_p_total
2019-01-14 00:00:00+00:00,44.04246079736775,1.0293172940348596,0.982,1.0615725498538757,0.031384126974813964,1.5133965101485096,2,6,5048.999525624173,True,2648.34797561268,0.5,0.0
2019-01-14 01:00:00+00:00,41.43424663066037,1.0302211432142074,0.982,1.0625487190943153,0.03226248285438675,1.4627388713380338,2,6,4992.619704406365,True,2650.4944456023104,0.5,0.0
2019-01-14 02:00:00+00:00,39.619447300541886,1.03046156144051,0.982,1.0626277165461364,0.032500586714231755,1.4161770982942141,2,6,5036.568555544884,True,2758.2545174599422,0.5,0.0
2019-01-14 03:00:00+00:00,39.12214469124409,1.0299684521924581,0.982,1.0620096248099558,0.032026855175781674,1.380289512074296,2,6,5176.9817149557775,True,2950.820907454776,0.5,0.0
2019-01-14 04:00:00+00:00,42.44545144602081,1.0268288718671392,0.982,1.058814518711399,0.029002835523110854,1.402633650616213,2,5,5585.7442256208615,True,3338.452922730431,0.5,0.0
2019-01-14 05:00:00+00:00,48.799480582018106,1.0202511154536682,0.982,1.0526267491134345,0.024608751159734925,1.3863223454429028,2,2,6477.031035204946,True,4248.133516079695,0.5,0.0
2019-01-14 06:00:00+00:00,54.94332616708785,1.014862735418074,0.9748945824316789,1.0481429642088889,0.023207473904069503,1.3538266394252338,3,0,7177.971879827096,True,5015.229832976822,0.5,0.0
2019-01-14 07:00:00+00:00,56.51519748990884,1.013249217385672,0.972165923861647,1.0466082521082665,0.02296921363915529,1.3649245424904957,3,0,7441.1913127946045,True,5191.412519623094,0.5,0.0
2019-01-14 08:00:00+00:00,60.930252506827415,1.0130419066294987,0.9741060188254004,1.0470416261072506,0.0222072882472628,1.618109083477341,3,0,7502.501785769953,True,4413.877974614805,0.5,0.0
2019-01-14 09:00:00+00:00,93.92816722360287,1.0063898633567374,0.9658697110941113,1.043399532855297,0.020724158698577425,2.415098786477156,3,0,7444.563380281347,True,3139.0507018195617,0.5,0.0
2019-01-14 10:00:00+00:00,148.47863387571928,0.9913790886561562,0.9391572703719993,1.0400000000000003,0.02924778097981176,3.2030023814900592,5,4,7547.720702709697,True,2275.177609608266,0.5,0.0
2019-01-14 11:00:00+00:00,170.89069918411974,0.9853063455846944,0.9275779758012082,1.0400000000000003,0.033318662905058465,3.4239784419669954,7,7,7516.0114052212975,True,1991.1716707722703,0.5,0.0
2019-01-14 12:00:00+00:00,142.29222339855167,0.9930057761384022,0.9430321366715048,1.0400000000000003,0.02827015870440433,3.0827081328125585,4,4,7516.7064903587225,True,2369.291946234992,0.5,0.0
2019-01-14 13:00:00+00:00,102.82022219881712,1.0038367313499896,0.9620548784171139,1.0425577125754895,0.021788832499163885,2.509896532641701,3,0,7411.5641637100725,True,2961.793052138878,0.5,0.0
2019-01-14 14:00:00+00:00,64.42786180460683,1.0127906755963274,0.9744112921661087,1.0473264674264902,0.022041124186494822,1.7066807995092537,3,0,7375.012810122189,True,4171.118219953406,0.5,0.0
2019-01-14 15:00:00+00:00,55.421672197660904,1.0133738049441756,0.9722411639969872,1.0469240129612827,0.023108510717244478,1.3470815906442763,3,0,7402.692570157757,True,5178.614821774598,0.5,0.0
2019-01-14 16:00:00+00:00,57.38680969371135,1.0105796021083784,0.9664918849255679,1.044272357591535,0.023243404437975762,1.2487849808174891,3,0,7725.64906032498,True,5707.145120151726,0.5,0.0
2019-01-14 17:00:00+00:00,55.47156072755426,1.0117119970842465,0.9690341218066261,1.044823369608837,0.02308356847479066,1.2229637652602678,3,0,7632.919037246576,True,5659.660752243651,0.5,0.0
2019-01-14 18:00:00+00:00,52.3616880765548,1.0138030962270448,0.9731020077098598,1.0464384366932342,0.023127900141848602,1.1931716728952135,3,0,7426.301020847249,True,5485.615452037325,0.5,0.0
2019-01-14 19:00:00+00:00,47.70427278609027,1.0172993721445251,0.9799977613298846,1.049300782569279,0.023630540823238788,1.175204061709487,2,0,7039.890824464,True,5111.640549005691,0.5,0.0
2019-01-14 20:00:00+00:00,44.12643388822214,1.020631099792595,0.982,1.0517873897400376,0.024801606263222958,1.1767112606648373,2,2,6653.284173346961,True,4738.3616211873805,0.5,0.0
2019-01-14 21:00:00+00:00,40.11182740334098,1.023349715273867,0.982,1.0536735524510192,0.026357765651745673,1.1484887595455673,2,4,6360.095026468103,True,4486.821600398941,0.5,0.0
2019-01-14 22:00:00+00:00,36.203133200272745,1.0271944390889132,0.982,1.0573838144936587,0.029385979820499886,1.1467977836570666,2,6,5880.195503835698,True,4025.9700141475673,0.5,0.0
2019-01-14 23:00:00+00:00,33.87569327935543,1.0292167256843392,0.982,1.0592200783643373,0.03133219597093328,1.1419748570739774,2,6,5622.494022128741,True,3777.481789960064,0.5,0.0
2019-01-15 00:00:00+00:00,33.09029521952034,1.030315932520357,0.982,1.0604613131196379,0.03239729773929943,1.1673560111447956,2,6,5434.102545959677,True,3552.5599447397562,0.5,0.0
2019-01-15 01:00:00+00:00,32.04858435258281,1.0308735154565551,0.982,1.0613295175520419,0.03294292525942899,1.1433825955551629,2,6,5361.7302044067355,True,3503.599694464004,0.5,0.0
2019-01-15 02:00:00+00:00,33.26113159671555,1.030451988825667,0.982,1.06108269244227,0.03253539009230023,1.1833309236262377,2,6,5373.622008161515,True,3457.8776795906006,0.5,0.0
2019-01-15 03:00:00+00:00,35.265155927619354,1.029491694583956,0.982,1.0603044036664275,0.03159787944283379,1.2187725319924274,2,6,5479.4142507520155,True,3510.2785987976467,0.5,0.0
2019-01-15 04:00:00+00:00,38.53517436954559,1.0268851990778292,0.982,1.0575107516724316,0.029074467787577583,1.2501826541973011,2,6,5812.5413466615955,True,3806.8759025166305,0.5,0.0
2019-01-15 05:00:00+00:00,46.01827233052443,1.0212227093423398,0.982,1.052233143229606,0.024912583839185178,1.2910762253375905,2,2,6501.191611870161,True,4454.101661397206,0.5,0.0
2019-01-15 06:00:00+00:00,53.58142983795858,1.0154571375934796,0.9769853618415831,1.0478339483006118,0.023027109825691457,1.3161898502072813,3,0,7165.362591972822,True,5095.019017731406,0.5,0.0
2019-01-15 07:00:00+00:00,55.592670871576274,1.0130496966781333,0.9720042787208846,1.0459934914415678,0.02293163391468104,1.3034752471466233,3,0,7485.938516419084,True,5373.444834462094,0.5,0.0
2019-01-15 08:00:00+00:00,56.58996322602403,1.014014354931831,0.9756341205921242,1.046902282273832,0.022428772097436617,1.475542126043407,3,0,7462.334519272162,True,4826.4596582005,0.5,0.0
2019-01-15 09:00:00+00:00,65.65223746297411,1.011963104527108,0.9735975222570536,1.0459709946155697,0.021660080494387397,1.7049829630669215,3,0,7571.749899111324,True,4258.111706438195,0.5,0.0
2019-01-15 10:00:00+00:00,76.13058473737566,1.0088115537802673,0.9687212524591113,1.0443548155373032,0.02120444801948216,1.9625655575116627,3,0,7680.059801009499,True,3898.893928490362,0.5,0.0
2019-01-15 11:00:00+00:00,86.8535819733633,1.0067892135444434,0.9661679377833402,1.0435194388655273,0.02096190980384078,2.241696306753012,3,0,7599.498668589666,True,3482.029441988209,0.5,0.0
2019-01-15 12:00:00+00:00,97.07351742856794,1.0011606609310475,0.9505033433687837,1.0400000000000005,0.025341664066201062,2.608579382228825,4,0,7565.521997858756,True,3518.3212857565168,0.5,0.0
2019-01-15 13:00:00+00:00,79.85176574948643,1.0067625500672155,0.9615265909094097,1.0426065078461895,0.02256403106033222,2.3572516542776394,4,0,7451.398275967318,True,3871.710720568861,0.5,0.0
2019-01-15 14:00:00+00:00,65.24178415792758,1.010309834021496,0.9664646069340911,1.0450451485767824,0.022297087573654617,1.9821305241220544,3,0,7413.636335917896,True,4600.283148872778,0.5,0.0
2019-01-15 15:00:00+00:00,62.06849910734861,1.01066993613689,0.9659987709842537,1.0451926430310838,0.022934451168026355,1.7718982229309286,3,0,7389.128885325113,True,5040.7257667994645,0.5,0.0
2019-01-15 16:00:00+00:00,64.42963486304538,1.008640780341082,0.9620035898605616,1.043533635714296,0.023065150103155425,1.770149867855522,3,0,7578.25294030551,True,5264.924609453303,0.5,0.0
2019-01-15 17:00:00+00:00,63.168004619562694,1.009401099969274,0.9637728412238744,1.044267873799516,0.02305780577254193,1.7474247460512125,3,0,7503.186984036086,True,5189.220844441891,0.5,0.0
2019-01-15 18:00:00+00:00,60.725115869257806,1.0110502161095336,0.9668426096941078,1.0458980329861687,0.023119370788199492,1.7136736932628713,3,0,7342.172812003113,True,5035.308252379035,0.5,0.0
2019-01-15 19:00:00+00:00,55.652156565661635,1.0146501061367257,0.9742812576110267,1.0488126984684614,0.023221484359543527,1.6519477997776517,3,0,6984.423966654984,True,4709.3542974180045,0.5,0.0
2019-01-15 20:00:00+00:00,51.46054494282165,1.0180412233649139,0.9814248806204805,1.051314577052813,0.023844693528884367,1.5939914420650783,3,2,6644.208542986866,True,4419.219731183131,0.5,0.0
2019-01-15 21:00:00+00:00,46.46835900997491,1.0212662961531978,0.982,1.0531584262211326,0.025065142733389785,1.5414646980312126,2,2,6333.219447454307,True,4191.509189607374,0.5,0.0
2019-01-15 22:00:00+00:00,42.29919861107551,1.024863941363986,0.982,1.0565497793788905,0.027496413366434512,1.5120943967864062,2,5,5908.733468173577,True,3788.305966446394,0.5,0.0
2019-01-15 23:00:00+00:00,38.64421415861897,1.0277134088411646,0.982,1.0589218420557778,0.02987633587910591,1.487756009750572,2,5,5580.8685094514485,True,3506.4422133408993,0.5,0.0
2019-01-16 00:00:00+00:00,35.51356955588839,1.0300996411216055,0.982,1.0604354683325043,0.03218632703707314,1.2636636983366658,2,6,5351.830101642279,True,3341.6458811229277,0.5,0.0
2019-01-16 01:00:00+00:00,33.212027126541045,1.0311318796584108,0.982,1.061673070580539,0.03319347848822184,1.2074227018356523,2,6,5254.306904950468,True,3313.1863196883055,0.5,0.0
2019-01-16 02:00:00+00:00,32.32892784055146,1.0312383294409275,0.982,1.0617726849171785,0.03330597406795615,1.1768225253242306,2,6,5261.830759825566,True,3363.681725551407,0.5,0.0
2019-01-16 03:00:00+00:00,32.57346825684164,1.0299666126055367,0.982,1.0610700396015416,0.03208031300437845,1.1333819637825189,2,6,5456.631531753793,True,3592.2262515478196,0.5,0.0
2019-01-16 04:00:00+00:00,33.50007085801315,1.0279978012146809,0.982,1.0587113214170047,0.03019740817879037,1.0683913060729284,2,6,5778.846922038895,True,4019.1097571015125,0.5,0.0
2019-01-16 05:00:00+00:00,40.76081707263345,1.0222723862240577,0.982,1.0524829573045333,0.025681500519495044,1.0810936004233258,2,3,6522.163182429918,True,4782.225575520822,0.5,0.0
2019-01-16 06:00:00+00:00,48.337769880716976,1.016437740922209,0.9793030867328532,1.0477237119082197,0.02315400318344711,1.0885945556017116,2,0,7212.630310680491,True,5488.1298072685495,0.5,0.0
2019-01-16 07:00:00+00:00,49.3898140337782,1.0152008608835223,0.9775965187202887,1.0465848166715335,0.022783568165564996,1.1310173716283398,2,0,7423.8661985057415,True,5521.238913624857,0.5,0.0
2019-01-16 08:00:00+00:00,52.85676861483411,1.0156562374476634,0.9810846002670706,1.0477468949299678,0.022265073427544933,1.4623602341445578,3,0,7426.382825193833,True,4537.802217186751,0.5,0.0
2019-01-16 09:00:00+00:00,87.27047066199489,1.0076593556968096,0.970571236792203,1.0438403086745187,0.02021076200123892,2.477134524157103,3,0,7466.534632089674,True,3192.3616704021556,0.5,0.0
2019-01-16 10:00:00+00:00,153.6228518977622,0.9900565366640505,0.9380584116822442,1.0400000000000003,0.029961590217943528,3.4312681074606957,5,4,7511.730131629429,True,2102.7097100965498,0.5,0.0
