timestamp,losses_mw,vm_mean,vm_min,vm_max,voltage_deviation_pu,max_line_loading,n_overloaded_lines,n_voltage_violations,tripped
2019-01-14 00:00:00+00:00,43.692855328239126,1.0334078700879592,0.982,1.0636000000000003,0.035412009756795516,1.5141548449465023,2,10,
2019-01-14 01:00:00+00:00,41.11717995089848,1.0343104986005778,0.982,1.064388293202089,0.03628924096485182,1.4634990505656411,2,10,False
2019-01-14 02:00:00+00:00,39.32678869406534,1.0345463646626814,0.982,1.064573956482968,0.036522891034112985,1.4169278962657967,2,11,False
2019-01-14 03:00:00+00:00,38.84293630437626,1.034054734911083,0.982,1.0640368879814746,0.03605062170088954,1.3810364415389185,2,10,False
2019-01-14 04:00:00+00:00,42.131759805298216,1.030940146623651,0.982,1.0636000000000003,0.033051021377351227,1.403332476357973,2,9,False
2019-01-14 05:00:00+00:00,48.43547980792351,1.0244098052460449,0.982,1.0636000000000003,0.028082592111027437,1.3869265142682887,2,7,False
2019-01-14 06:00:00+00:00,54.53064267275248,1.0190631299676642,0.9770835276151525,1.0636000000000005,0.026021896793598655,1.354347398912449,3,1,False
2019-01-14 07:00:00+00:00,56.08369846185033,1.0174609139439665,0.974370180455142,1.0635999999999999,0.02567227479577137,1.3654194071527872,3,1,False
2019-01-14 08:00:00+00:00,60.39200795517824,1.0172668010467265,0.9763371027027773,1.0636000000000005,0.02496352387009473,1.6186410705935443,3,1,False
2019-01-14 09:00:00+00:00,92.85585877432521,1.0107603162380336,0.9683457672222922,1.0635999999999999,0.022886344550681822,2.4164411752940493,3,1,False
2019-01-14 10:00:00+00:00,146.33411446266814,0.9960977509746669,0.9432420229341114,1.0636,0.029194461266130976,3.204549932996938,5,4,False
2019-01-14 11:00:00+00:00,168.17896822804568,0.9902093588958161,0.9325149170175573,1.0636,0.03299729199545333,3.425528327708219,7,7,False
2019-01-14 12:00:00+00:00,140.2827710548764,0.997671991414067,0.946450092357124,1.0636000000000003,0.02825011284339817,3.0842418286740347,4,4,False
2019-01-14 13:00:00+00:00,101.5865286537509,1.0082510275282233,0.9646017758260679,1.0635999999999997,0.02311740278602332,2.511268441790813,3,1,False
2019-01-14 14:00:00+00:00,63.832200886531446,1.0170239664074574,0.9766554809953774,1.0636,0.02478884734722562,1.7072300783464684,3,1,False
2019-01-14 15:00:00+00:00,55.00167659981642,1.017580297046103,0.9744326171443298,1.0636000000000005,0.025809733898947973,1.3475574289682735,3,1,False
2019-01-14 16:00:00+00:00,56.960108408553246,1.0148074514529777,0.9687079350931583,1.0636,0.02579263281783318,1.2491600347541858,3,1,False
2019-01-14 17:00:00+00:00,55.06712951335899,1.0159275843771178,0.9712260429607981,1.0636000000000003,0.025726113947639816,1.2233468313181044,3,1,False
2019-01-14 18:00:00+00:00,51.99319856625845,1.0179986220618455,0.9752606477075527,1.0636,0.025865950879619348,1.1935863416593906,3,1,False
2019-01-14 19:00:00+00:00,47.38341643700013,1.021464242769967,0.982,1.0636000000000003,0.026985598236339767,1.1756792528094866,2,2,False
2019-01-14 20:00:00+00:00,43.83862203095918,1.0247710870884288,0.982,1.0636,0.02835474107870268,1.1772565886431468,2,8,False
2019-01-14 21:00:00+00:00,39.861220472423156,1.0274673807102,0.982,1.0636,0.03020074941068725,1.1490517404119718,2,8,False
2019-01-14 22:00:00+00:00,35.98591406534637,1.0312855065558046,0.982,1.0635999999999997,0.03341427623591893,1.1474302138634753,2,9,False
2019-01-14 23:00:00+00:00,33.6770487607526,1.033294314495159,0.982,1.0636,0.035347357619331485,1.142627463321795,2,9,False
2019-01-15 00:00:00+00:00,32.89185695283545,1.0343882091314418,0.982,1.0636,0.03640726652621982,1.168022242708823,2,11,False
2019-01-15 01:00:00+00:00,31.862052132865955,1.0349411303385558,0.982,1.0644607633774514,0.03694831562019613,1.1440520087199748,2,11,False
2019-01-15 02:00:00+00:00,33.058246127196334,1.034525352053201,0.982,1.0639524213207938,0.03654640809396853,1.1840047471932653,2,11,False
2019-01-15 03:00:00+00:00,35.04353156658675,1.0335740577557158,0.982,1.0635999999999999,0.03561774046025388,1.2194588169034013,2,10,False
2019-01-15 04:00:00+00:00,38.281501971617956,1.0309881535897762,0.982,1.0636000000000008,0.033114480006087424,1.2508376654928544,2,9,False
2019-01-15 05:00:00+00:00,45.694733079236016,1.0253719882407484,0.982,1.0636000000000003,0.02864897418934367,1.2916713718967021,2,8,False
2019-01-15 06:00:00+00:00,53.18433220543628,1.019655213961985,0.9791567500636905,1.0636000000000003,0.026034902312071704,1.316701278563352,3,1,False
2019-01-15 07:00:00+00:00,55.17719995974503,1.0172638347163268,0.9742005075752428,1.0636000000000008,0.02562350560105216,1.3039337608578385,3,1,False
2019-01-15 08:00:00+00:00,56.12906591095271,1.0182255090731276,0.9778290673964162,1.0636,0.025249182087176292,1.4760662522371073,3,1,False
2019-01-15 09:00:00+00:00,65.03627690481952,1.0162121134023876,0.975859682894289,1.0636000000000005,0.024378927941168513,1.7054955256393562,3,1,False
2019-01-15 10:00:00+00:00,75.34138418753078,1.013111711326188,0.9710706944758697,1.0635999999999999,0.023823738457526063,1.9637494707298178,3,1,False
