timestamp,losses_mw,vm_mean,vm_min,vm_max,voltage_deviation_pu,max_line_loading,n_overloaded_lines,n_voltage_violations,total_load_mw,converged,total_gen_mw
2019-01-01 00:00:00+00:00,111.46971194686469,0.9869586687693076,0.943,1.0400000000000003,0.021285964697364143,0.056444739885978125,0,1,3211.3353328822386,True,2357.4177174036836
2019-01-01 01:00:00+00:00,106.93798279743746,0.9871527824908366,0.943,1.04,0.021180967595783973,0.05563745046557114,0,1,3105.0665774908284,True,2234.832871011837
2019-01-01 02:00:00+00:00,110.20304510683037,0.987246916228745,0.9429999999999998,1.04,0.021126704313960274,0.05595813466118242,0,1,3018.66728116927,True,2098.979123455727
2019-01-01 03:00:00+00:00,116.87845237863229,0.9871944963086301,0.9430000000000001,1.0400000000000003,0.021162048821903336,0.0576032765393627,0,1,3013.68624880059,True,2025.7807776478855
2019-01-01 04:00:00+00:00,123.29659419960484,0.987147723649561,0.943,1.0400000000000003,0.02118609091952322,0.058573466092796726,0,1,2996.170110418847,True,1963.9790136492509
2019-01-01 05:00:00+00:00,128.10870624402546,0.987148588511849,0.943,1.0400000000000003,0.021191222208359894,0.05925683710355673,0,1,2958.9633584298604,True,1884.7570410862245
2019-01-01 06:00:00+00:00,133.88708981869965,0.9870260164985782,0.9429999999999998,1.04,0.021256860421559227,0.06051559289624388,0,1,3002.63342843893,True,1897.9995934566919
2019-01-01 07:00:00+00:00,141.4089254310951,0.9868773056059613,0.9429999999999998,1.04,0.02132710848080884,0.060972320945653004,0,1,3043.490584926741,True,1863.1411383670898
2019-01-01 08:00:00+00:00,166.49270717802466,0.9863106160997092,0.9430000000000003,1.0400000000000005,0.021717051962034356,0.05943456846895894,0,1,3257.1452715789505,True,1782.6031593207658
2019-01-01 09:00:00+00:00,252.69121655988766,0.9850901967839258,0.9383877998861588,1.0400000000000003,0.022725157873188698,0.057182345555138146,0,4,3456.298507708511,True,1496.1029152720914
2019-01-01 10:00:00+00:00,377.05465697740016,0.9834206724308185,0.920146619958849,1.0400000000000005,0.024118404216509445,0.056826420169479225,0,5,3683.460972271748,True,1303.0989324397938
