timestamp,ramp_mw,level_start_mw,level_end_mw,direction
2016-12-09 23:00:00+00:00,20040.0,0.0,20040.0,up
2016-10-28 22:00:00+00:00,11679.0,0.0,11679.0,up
2020-04-20 08:00:00+00:00,11342.0,35057.0,46399.0,up
2020-07-29 07:00:00+00:00,10069.0,28104.0,38173.0,up
2016-05-08 08:00:00+00:00,9469.0,26665.0,36134.0,up
2018-06-21 08:00:00+00:00,9424.0,29084.0,38508.0,up
2020-04-20 09:00:00+00:00,9330.0,46399.0,55729.0,up
2020-04-21 07:00:00+00:00,9269.0,36522.0,45791.0,up
2017-04-30 08:00:00+00:00,8951.0,28793.0,37744.0,up
2020-08-23 07:00:00+00:00,8921.0,24602.0,33523.0,up
2015-01-01 00:00:00+00:00,8853.0,0.0,8853.0,up
2020-03-23 08:00:00+00:00,8799.0,32931.0,41730.0,up
2020-05-30 07:00:00+00:00,8668.0,17493.0,26161.0,up
2018-06-21 07:00:00+00:00,8648.0,20436.0,29084.0,up
2018-05-21 08:00:00+00:00,8566.0,27438.0,36004.0,up
2020-05-12 07:00:00+00:00,8398.0,21616.0,30014.0,up
2020-04-15 07:00:00+00:00,8368.0,22756.0,31124.0,up
2018-07-01 07:00:00+00:00,8277.0,20233.0,28510.0,up
2016-05-09 08:00:00+00:00,8266.0,26567.0,34833.0,up
2020-05-31 07:00:00+00:00,8209.0,18513.0,26722.0,up
2020-03-13 16:00:00+00:00,-8019.0,42167.0,34148.0,down
2020-04-15 16:00:00+00:00,-8035.0,25325.0,17290.0,down
2020-03-13 15:00:00+00:00,-8058.0,50225.0,42167.0,down
2017-04-24 15:00:00+00:00,-8076.0,32564.0,24488.0,down
2020-03-23 16:00:00+00:00,-8156.0,27094.0,18938.0,down
2018-09-19 16:00:00+00:00,-8157.0,26223.0,18066.0,down
2017-07-30 17:00:00+00:00,-8205.0,24534.0,16329.0,down
2020-03-18 16:00:00+00:00,-8218.0,21025.0,12807.0,down
2020-03-23 15:00:00+00:00,-8258.0,35352.0,27094.0,down
2020-05-07 16:00:00+00:00,-8276.0,19153.0,10877.0,down
2018-05-01 17:00:00+00:00,-8379.0,27577.0,19198.0,down
2020-03-01 16:00:00+00:00,-8430.0,29601.0,21171.0,down
2020-09-24 15:00:00+00:00,-8444.0,29314.0,20870.0,down
2018-09-20 15:00:00+00:00,-8536.0,29888.0,21352.0,down
2020-08-05 16:00:00+00:00,-8825.0,23012.0,14187.0,down
2020-04-06 16:00:00+00:00,-9379.0,25392.0,16013.0,down
2018-09-20 16:00:00+00:00,-9403.0,21352.0,11949.0,down
2020-03-01 15:00:00+00:00,-10050.0,39651.0,29601.0,down
2016-10-27 22:00:00+00:00,-14332.0,14332.0,0.0,down
2016-12-08 23:00:00+00:00,-20128.0,20128.0,0.0,down
